sequential ,1 ,4 ,4 ,100 ,0.000051
pragma ,4 ,4 ,100 ,0.000376 ,0.000192 ,0.051064
SIMD ,4 ,4 ,100 ,0.000376 ,0.000192 ,0.051064
sequential ,2 ,4 ,4 ,100 ,0.000114
pragma ,4 ,4 ,100 ,0.000911 ,0.000192 ,0.021076
SIMD ,4 ,4 ,100 ,0.000823 ,0.000192 ,0.023329
sequential ,4 ,4 ,4 ,100 ,0.000050
pragma ,4 ,4 ,100 ,0.000993 ,0.000192 ,0.019335
SIMD ,4 ,4 ,100 ,0.001088 ,0.000192 ,0.017647
sequential ,8 ,4 ,4 ,100 ,0.000049
pragma ,4 ,4 ,100 ,0.001237 ,0.000192 ,0.015521
SIMD ,4 ,4 ,100 ,0.001280 ,0.000192 ,0.015000
sequential ,1 ,16 ,16 ,100 ,0.000083
pragma ,16 ,16 ,100 ,0.001444 ,0.002304 ,0.159557
SIMD ,16 ,16 ,100 ,0.001388 ,0.002304 ,0.165994
sequential ,2 ,16 ,16 ,100 ,0.000085
pragma ,16 ,16 ,100 ,0.003123 ,0.002304 ,0.073775
SIMD ,16 ,16 ,100 ,0.003144 ,0.002304 ,0.073282
sequential ,4 ,16 ,16 ,100 ,0.000083
pragma ,16 ,16 ,100 ,0.003359 ,0.002304 ,0.068592
SIMD ,16 ,16 ,100 ,0.003704 ,0.002304 ,0.062203
sequential ,8 ,16 ,16 ,100 ,0.000082
pragma ,16 ,16 ,100 ,0.004306 ,0.002304 ,0.053507
SIMD ,16 ,16 ,100 ,0.004877 ,0.002304 ,0.047242
sequential ,1 ,256 ,256 ,100 ,0.013476
pragma ,256 ,256 ,100 ,0.033608 ,0.528384 ,1.572197
SIMD ,256 ,256 ,100 ,0.024011 ,0.528384 ,2.200591
sequential ,2 ,256 ,256 ,100 ,0.013306
pragma ,256 ,256 ,100 ,0.049658 ,0.528384 ,1.064046
SIMD ,256 ,256 ,100 ,0.049987 ,0.528384 ,1.057043
sequential ,4 ,256 ,256 ,100 ,0.013855
pragma ,256 ,256 ,100 ,0.058794 ,0.528384 ,0.898704
SIMD ,256 ,256 ,100 ,0.056157 ,0.528384 ,0.940905
sequential ,8 ,256 ,256 ,100 ,0.014368
pragma ,256 ,256 ,100 ,0.077776 ,0.528384 ,0.679366
SIMD ,256 ,256 ,100 ,0.121901 ,0.528384 ,0.433453
sequential ,1 ,1024 ,1024 ,100 ,0.245018
pragma ,1024 ,1024 ,100 ,0.299399 ,8.404992 ,2.807288
SIMD ,1024 ,1024 ,100 ,0.161497 ,8.404992 ,5.204426
sequential ,2 ,1024 ,1024 ,100 ,0.241456
pragma ,1024 ,1024 ,100 ,0.280985 ,8.404992 ,2.991260
SIMD ,1024 ,1024 ,100 ,0.217963 ,8.404992 ,3.856155
sequential ,4 ,1024 ,1024 ,100 ,0.239611
pragma ,1024 ,1024 ,100 ,0.252636 ,8.404992 ,3.326918
SIMD ,1024 ,1024 ,100 ,0.224204 ,8.404992 ,3.748814
sequential ,8 ,1024 ,1024 ,100 ,0.237249
pragma ,1024 ,1024 ,100 ,0.321430 ,8.404992 ,2.614875
SIMD ,1024 ,1024 ,100 ,0.295891 ,8.404992 ,2.840570
sequential ,1 ,4096 ,4096 ,100 ,3.883140
pragma ,4096 ,4096 ,100 ,3.731399 ,134.283264 ,3.598738
SIMD ,4096 ,4096 ,100 ,1.621855 ,134.283264 ,8.279610
sequential ,2 ,4096 ,4096 ,100 ,3.874100
pragma ,4096 ,4096 ,100 ,2.451361 ,134.283264 ,5.477907
SIMD ,4096 ,4096 ,100 ,1.488876 ,134.283264 ,9.019103
sequential ,4 ,4096 ,4096 ,100 ,3.856136
pragma ,4096 ,4096 ,100 ,1.800167 ,134.283264 ,7.459489
SIMD ,4096 ,4096 ,100 ,1.355993 ,134.283264 ,9.902947
sequential ,8 ,4096 ,4096 ,100 ,3.873452
pragma ,4096 ,4096 ,100 ,1.819139 ,134.283264 ,7.381693
SIMD ,4096 ,4096 ,100 ,1.548105 ,134.283264 ,8.674041
sequential ,1 ,16384 ,16384 ,100 ,61.296530
pragma ,16384 ,16384 ,100 ,55.041699 ,2147.745792 ,3.902034
SIMD ,16384 ,16384 ,100 ,20.040763 ,2147.745792 ,10.716886
sequential ,2 ,16384 ,16384 ,100 ,61.338624
pragma ,16384 ,16384 ,100 ,29.962835 ,2147.745792 ,7.168033
SIMD ,16384 ,16384 ,100 ,14.109288 ,2147.745792 ,15.222212
sequential ,4 ,16384 ,16384 ,100 ,61.977960
pragma ,16384 ,16384 ,100 ,18.050568 ,2147.745792 ,11.898494
SIMD ,16384 ,16384 ,100 ,11.058943 ,2147.745792 ,19.420896
sequential ,8 ,16384 ,16384 ,100 ,60.528989
pragma ,16384 ,16384 ,100 ,14.040417 ,2147.745792 ,15.296880
SIMD ,16384 ,16384 ,100 ,10.573333 ,2147.745792 ,20.312855
